question,answers
"Who is the author of the book ""The Craft of Writing Science Fiction that Sells""?",Ben Bova
"Who is the author of the book ""Love and Other Wounds: Stories""?",Jordan Harper
"Who is the author of the book ""Thirteen Stories and Thirteen Epitaphs""?",William T. Vollmann
"Who is the author of the book ""The Beautiful Anthology""?",Ronlyn Domingue
"Who is the author of the book ""A Lucky Life Interrupted: A Memoir of Hope""?",Tom Brokaw
"Who is the author of the book ""The Diana I Knew: Loving Memories of the Friendship Between an American Mother and Her Son's Nanny Who Became the Princess of Wales""?",Mary Robertson
"Who is the author of the book ""Chasing the Prophecy""?",Brandon Mull
"Who is the author of the book ""Teaching Children to Love: 80 Games and Fun Activities for Raising Balanced Children in an Unbalanced World""?",Joseph Chilton Pearce
"Who is the author of the book ""The Power of Myth""?",Joseph Campbell
"Who is the author of the book ""The Shuttle""?",Frances Hodgson Burnett
"Who is the author of the book ""The Hanging Tree""?",Ben Aaronovitch
"Who is the author of the book ""Song of the Willow""?",Charlotte McPherren
"Who is the author of the book ""Bennelong: The coming in of the Eora Sydney Cove 1788-1792""?",Keith Vincent Smith
"Who is the author of the book ""The Sky, the Stars, the Wilderness""?",Rick Bass
"Who is the author of the book ""The Last Kingdom""?",Bernard Cornwell
"Who is the author of the book ""Where We Stand: Class Matters""?",bell hooks
"Who is the author of the book ""Letters Home from Italy""?",Lisa Halvorsen
"Who is the author of the book ""Black Panther #5""?",Ta-Nehisi Coates
"Who is the author of the book ""Ocean of Blood""?",Darren Shan
"Who is the author of the book ""White Fang""?",Jack London
"Who is the author of the book ""The Jane Austen Book Club""?",Karen Joy Fowler
"Who is the author of the book ""The Uncollected David Rakoff: Including the entire text of Love, Dishonor, Marry, Die, Cherish, Perish""?",David Rakoff
"Who is the author of the book ""The Curriculum: Everything You Need to Know to Be a Master of Business Arts""?",Stanley Bing
"Who is the author of the book ""Further Fridays: Essays, Lectures, and Other Nonfiction, 1984 - 1994""?",John Barth
"Who is the author of the book ""Betrayer""?",C.J. Cherryh
"Who is the author of the book ""The Death of  Dulgath""?",Michael J. Sullivan
"Who is the author of the book ""Picasso at the Lapin Agile and Other Plays""?",Steve Martin
"Who is the author of the book ""Notes on an Exodus""?",Richard Flanagan
"Who is the author of the book ""The Motion of Puppets""?",Keith Donohue
"Who is the author of the book ""The Freedom Manifesto""?",Tom Hodgkinson
"Who is the author of the book ""Black Panther #13""?",Ta-Nehisi Coates
"Who is the author of the book ""The End of the Affair""?",Graham Greene
"Who is the author of the book ""Rain Dogs""?",Adrian McKinty
"Who is the author of the book ""A Montana Born Christmas""?",Jane Porter
"Who is the author of the book ""Wild Swans: Three Daughters of China""?",Jung Chang
"Who is the author of the book ""The Idea of Justice""?",Amartya Sen
"Who is the author of the book ""How the Hell Did This Happen?: A Cautionary Tale of American Democracy""?",P. J. O'Rourke
"Who is the author of the book ""Los días que nos separan""?",Laia Soler
"Who is the author of the book ""Help!: How to Be Slightly Happier, Slightly More Successful and Get a Bit More Done""?",Oliver Burkeman
"Who is the author of the book ""Ali and Nino""?",Kurban Said
"Who is the author of the book ""Liberty""?",Nick Webb
"Who is the author of the book ""The Heart's Victory""?",Nora Roberts
"Who is the author of the book ""Winning With People: Discover the People Principles that Work for You Every Time""?",John C. Maxwell
"Who is the author of the book ""Intuition""?",Allegra Goodman
"Who is the author of the book ""Stoic Six Pack - Meditations of Marcus Aurelius, Golden Sayings, Fragments and Discourses of Epictetus, Letters From A Stoic and The Enchiridion""?",Marcus Aurelius
"Who is the author of the book ""Dreamer's Pool""?",Juliet Marillier
"Who is the author of the book ""Nada que temer""?",Julian Barnes
"Who is the author of the book ""Mistress of the Monarchy: The Life of Katherine Swynford, Duchess of Lancaster""?",Alison Weir
"Who is the author of the book ""The Dust that Falls from Dreams""?",Louis de Bernières
"Who is the author of the book ""The Firm""?",John Grisham
"Who is the author of the book ""Innovate Like Edison: The Success System of America's Greatest Inventor""?",Michael J. Gelb
"Who is the author of the book ""A Blue So Dark""?",Holly Schindler
"Who is the author of the book ""Scarlett: The Sequel to Margaret Mitchell's Gone with the Wind Part 2""?",Alexandra Ripley
"Who is the author of the book ""The Red Notebook: True Stories""?",Paul Auster
"Who is the author of the book ""Men Without Women: Stories""?",Haruki Murakami
"Who is the author of the book ""Ice Storm""?",Anne Stuart
"Who is the author of the book ""A Possible Life""?",Sebastian Faulks
"Who is the author of the book ""Death of a Travelling Man""?",M.C. Beaton
"Who is the author of the book ""Two Hearts""?",Peter S. Beagle
"Who is the author of the book ""The Complete Stories of Truman Capote""?",Truman Capote
"Who is the author of the book ""The Undead Pool""?",Kim Harrison
"Who is the author of the book ""Tall, Dark Streak of Lightning""?",J.M. Richards
"Who is the author of the book ""You Only Live Twice""?",Ian Fleming
"Who is the author of the book ""Bombing in Belgravia""?",Samantha Silver
"Who is the author of the book ""The Short Happy Life of Francis Macomber and Other Stories""?",Ernest Hemingway
"Who is the author of the book ""The Brave Free Men""?",Jack Vance
"Who is the author of the book ""La gran búsqueda: Una historia de la economía""?",Sylvia Nasar
"Who is the author of the book ""Kitty at St Clare's""?",Enid Blyton
"Who is the author of the book ""Confederate Reckoning: Power and Politics in the Civil War South""?",Stephanie McCurry
"Who is the author of the book ""The Adventures of the Wishing-Chair""?",Enid Blyton
"Who is the author of the book ""Brida""?",Paulo Coelho
"Who is the author of the book ""Trade Wind""?",M.M. Kaye
"Who is the author of the book ""Where There is Light: Insight and Inspiration for Meeting Life's Challenges""?",Paramahansa Yogananda
"Who is the author of the book ""Not Another New Year's""?",Christie Ridgway
"Who is the author of the book ""Death of Kings""?",Bernard Cornwell
"Who is the author of the book ""Of the Nightingales That Weep""?",Katherine Paterson
"Who is the author of the book ""The Darling""?",Russell Banks
"Who is the author of the book ""Charlton Heston: Hollywood's Last Icon""?",Marc Eliot
"Who is the author of the book ""Don't Cry""?",Mary Gaitskill
"Who is the author of the book ""Someone Knows""?",Lisa Scottoline
"Who is the author of the book ""The End of All Songs""?",Michael Moorcock
"Who is the author of the book ""A Dead Man in Deptford""?",Anthony Burgess
"Who is the author of the book ""The Cat Who Knew a Cardinal""?",Lilian Jackson Braun
"Who is the author of the book ""Dancing With Demons""?",Peter Tremayne
"Who is the author of the book ""Kırmızı Saçlı Kadın""?",Orhan Pamuk
"Who is the author of the book ""Tanner's Scheme""?",Lora Leigh
"Who is the author of the book ""The Pilgrim's Progress""?",John Bunyan
"Who is the author of the book ""Make Today Count: The Secret of Your Success is Determined by Your Daily Agenda""?",John C. Maxwell
"Who is the author of the book ""The Age of Miracles: Embracing the New Midlife""?",Marianne Williamson
"Who is the author of the book ""The Evil Seed""?",Joanne Harris
"Who is the author of the book ""The Human Comedy: Selected Stories""?",Honoré de Balzac
"Who is the author of the book ""Some Prefer Nettles""?",Jun'ichirō Tanizaki
"Who is the author of the book ""Rebel""?",Bernard Cornwell
"Who is the author of the book ""Redeployment""?",Phil Klay
"Who is the author of the book ""Bookends""?",Jane Green
"Who is the author of the book ""Isaac Newton""?",James Gleick
"Who is the author of the book ""Star Wars: Tatooine Ghost""?",Troy Denning
"Who is the author of the book ""The Butterfly Effect""?",Jon Ronson
"Who is the author of the book ""The Brands Who Came For Christmas""?",Maggie Shayne
"Who is the author of the book ""Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions""?",Chimamanda Ngozi Adichie
"Who is the author of the book ""Upstairs at the White House: My Life with the First Ladies""?",J.B. West
"Who is the author of the book ""H.M.S. Surprise""?",Patrick O'Brian
"Who is the author of the book ""Spinoza's 'Ethics': An Introduction""?",Steven M. Nadler
"Who is the author of the book ""The Assassin and the Pirate Lord""?",Sarah J. Maas
"Who is the author of the book ""Werner Herzog - A Guide for the Perplexed: Conversations with Paul Cronin""?",Paul Cronin
"Who is the author of the book ""Innocent Traitor""?",Alison Weir
"Who is the author of the book ""My Father, the Pornographer""?",Chris Offutt
"Who is the author of the book ""Fairness and Freedom: A History of Two Open Societies: New Zealand and the United States""?",David Hackett Fischer
"Who is the author of the book ""The Wayfinders: Why Ancient Wisdom Matters in the Modern World""?",Wade Davis
"Who is the author of the book ""El Corazón de Voltaire""?",Luis López Nieves
"Who is the author of the book ""Lola and the Boy Next Door""?",Stephanie Perkins
"Who is the author of the book ""Double Fudge Brownie Murder""?",Joanne Fluke
"Who is the author of the book ""The Kraken King""?",Meljean Brook
"Who is the author of the book ""Jonathan Strange i pan Norrell. Tom 3""?",Susanna Clarke
"Who is the author of the book ""The Complete Works of Artemus Ward""?",Artemus Ward
"Who is the author of the book ""The Jazz Ear: Conversations Over Music""?",Ben Ratliff
"Who is the author of the book ""The Name of the Star""?",Maureen Johnson
"Who is the author of the book ""Frequency: The Power of Personal Vibration""?",Penney Peirce
"Who is the author of the book ""Sabbaths theater""?",Philip Roth
"Who is the author of the book ""The Diogenes Trilogy: Brimstone, Dance of Death, and The Book of the Dead Omnibus""?",Douglas Preston
"Who is the author of the book ""The Age of Reform""?",Richard Hofstadter
"Who is the author of the book ""I Shall Not Be Moved""?",Maya Angelou
"Who is the author of the book ""Hooking Up""?",Tom Wolfe
"Who is the author of the book ""The Lynda Barry Experience""?",Lynda Barry
"Who is the author of the book ""Vagabond, Volume 25""?",Takehiko Inoue
"Who is the author of the book ""Odile""?",Raymond Queneau
"Who is the author of the book ""The Chronicles of Amber""?",Roger Zelazny
"Who is the author of the book ""In the Moon of Red Ponies""?",James Lee Burke
"Who is the author of the book ""The Accidental Tourist""?",Anne Tyler
"Who is the author of the book ""Paradox""?",Catherine Coulter
"Who is the author of the book ""Nights at the Circus""?",Angela Carter
"Who is the author of the book ""The Fire Inside""?",Kathryn Shay
"Who is the author of the book ""The Sportswriter""?",Richard Ford
"Who is the author of the book ""Sounds, Feelings, Thoughts:  Seventy Poems by Wislawa Szymborska""?",Wisława Szymborska
"Who is the author of the book ""Lucado 3-in-1: Traveling Light, Next Door Savior, Come Thirsty""?",Max Lucado
"Who is the author of the book ""Festive in Death""?",J.D. Robb
"Who is the author of the book ""The Sandcastle""?",Iris Murdoch
"Who is the author of the book ""Mr. Dooley in Peace and in War""?",Finley Peter Dunne
"Who is the author of the book ""Horses Make a Landscape Look More Beautiful: Poems""?",Alice Walker
"Who is the author of the book ""Sapphire Flames""?",Ilona Andrews
"Who is the author of the book ""Dream Country""?",Neil Gaiman
"Who is the author of the book ""Rule of the Bone""?",Russell Banks
"Who is the author of the book ""Carsten Curator""?",Theodor Storm
"Who is the author of the book ""Angle of Repose""?",Wallace Stegner
"Who is the author of the book ""The Simple Truth: Poems""?",Philip Levine
"Who is the author of the book ""A Man Called Peter: The Story of Peter Marshall""?",Catherine Marshall
"Who is the author of the book ""My Booky Wook""?",Russell Brand
"Who is the author of the book ""Trader Of Secrets""?",Steve Martini
"Who is the author of the book ""Seduction""?",Jean Baudrillard
"Who is the author of the book ""Cast in Honor""?",Michelle Sagara
"Who is the author of the book ""What Men Don't Tell Women""?",Roy Blount Jr.
"Who is the author of the book ""Marriage of Inconvenience""?",Penny Reid
"Who is the author of the book ""Carniepunk: The Demon Barker of Wheat Street""?",Kevin Hearne
"Who is the author of the book ""Breverton's Nautical Curiosities""?",Terry Breverton
"Who is the author of the book ""The Complete Works of Henry Wadsworth Longfellow""?",Henry Wadsworth Longfellow
"Who is the author of the book ""For the Glory of God: How Monotheism Led to Reformations, Science, Witch-Hunts, and the End of Slavery""?",Rodney Stark
"Who is the author of the book ""Beauty's Hour: A Phantasy""?",Olivia Shakespear
"Who is the author of the book ""Перебои в смерти""?",José Saramago
"Who is the author of the book ""Conversation with Goya""?",Ivo Andrić
"Who is the author of the book ""Mississippi Blood""?",Greg Iles
"Who is the author of the book ""The Power of Praying for Your Adult Children Prayer and Study Guide""?",Stormie Omartian
"Who is the author of the book ""Main Street Vegan: Everything You Need to Know to Eat Healthfully and Live Compassionately in the Real World""?",Victoria Moran
"Who is the author of the book ""Scandal in Spring""?",Lisa Kleypas
"Who is the author of the book ""The Personal Notebooks Of Thomas Hardy""?",Thomas Hardy
"Who is the author of the book ""La galaxia Gutenberg""?",Marshall McLuhan
"Who is the author of the book ""The Family""?",Mario Puzo
"Who is the author of the book ""Click: One Novel, Ten Authors""?",Nick Hornby
"Who is the author of the book ""Продавач на чудеса""?",Gabriel Garcí­a Márquez
"Who is the author of the book ""The Atrocity Archives""?",Charles Stross
"Who is the author of the book ""The River Why""?",David James Duncan
"Who is the author of the book ""Lessons in Leadership: A Weekly Reading of the Jewish Bible""?",Jonathan Sacks
"Who is the author of the book ""Men of the Otherworld""?",Kelley Armstrong
"Who is the author of the book ""The Art of Aging: A Doctor's Prescription for Well-Being""?",Sherwin B. Nuland
"Who is the author of the book ""The Cast""?",Danielle Steel
"Who is the author of the book ""Magic's Pawn""?",Mercedes Lackey
"Who is the author of the book ""Slam Dunk, Tome 1""?",Takehiko Inoue
"Who is the author of the book ""The Wizard of Karres""?",Mercedes Lackey
"Who is the author of the book ""The Adventure of the Cardboard Box""?",Arthur Conan Doyle
"Who is the author of the book ""While My Pretty One Sleeps""?",Mary Higgins Clark
"Who is the author of the book ""How Then Shall We Worship?: Biblical Principles to Guide Us Today""?",R.C. Sproul
"Who is the author of the book ""The Deepest Acceptance""?",Jeff Foster
"Who is the author of the book ""From Islam to Christ: One Woman's Path through the Riddles of God""?",Derya Little
"Who is the author of the book ""Touchstones: A Book of Daily Meditations for Men""?",Anonymous
"Who is the author of the book ""99 Coffins""?",David Wellington
"Who is the author of the book ""The Comedians""?",Graham Greene
"Who is the author of the book ""Indian Tales""?",Rudyard Kipling
"Who is the author of the book ""The Chronicles of Narnia The Lion, the Witch & the Wardrobe""?",C. S. Lewis
"Who is the author of the book ""The Call to Wonder: Loving God like a Child""?",R.C. Sproul Jr.
"Who is the author of the book ""Movie Love: Film Writings, 1988-1991""?",Pauline Kael
"Who is the author of the book ""The Broker""?",John Grisham
"Who is the author of the book ""There Was a Little Girl""?",Ed McBain
"Who is the author of the book ""Girls In Pants: The Third Summer Of The Sisterhood""?",Ann Brashares
"Who is the author of the book ""Nothing Twice: Selected Poems""?",Wisława Szymborska
"Who is the author of the book ""The Lost Symbol""?",Dan Brown
"Who is the author of the book ""Surely You're Joking, Mr. Feynman/What Do You Care What Other People Think?""?",Richard P. Feynman
"Who is the author of the book ""Whispers of Hope: 10 Weeks of Devotional Prayer""?",Beth Moore
"Who is the author of the book ""Age of Anger: A History of the Present""?",Pankaj Mishra
"Who is the author of the book ""The King of the Swords""?",Michael Moorcock
"Who is the author of the book ""Collected Works Volume 10: Collected Poetry, Part 1""?",G.K. Chesterton
"Who is the author of the book ""A Friend of the Earth""?",T. Coraghessan Boyle
"Who is the author of the book ""The Ruby Knight""?",David Eddings
"Who is the author of the book ""The Japanese Lover""?",Isabel Allende
"Who is the author of the book ""Letters to a Young Artist""?",Anna Deavere Smith
"Who is the author of the book ""Nietzsche: Philosopher, Psychologist, Antichrist""?",Walter Kaufmann
"Who is the author of the book ""The Beast""?",J.R. Ward
"Who is the author of the book ""The Collected Tales of Nikolai Gogol""?",Nikolai Gogol
"Who is the author of the book ""Be Courageous (Luke 14-24): Take Heart from Christ's Example""?",Warren W. Wiersbe
"Who is the author of the book ""The Cat Who Played Brahms""?",Lilian Jackson Braun
"Who is the author of the book ""A Suitable Vengeance""?",Elizabeth George
"Who is the author of the book ""Preacher, Volume 7: Salvation""?",Garth Ennis
"Who is the author of the book ""A Sense of Where You Are: Bill Bradley at Princeton""?",John McPhee
"Who is the author of the book ""The Call of Cthulhu and Other Weird Stories""?",H P Lovecraft
"Who is the author of the book ""The 21 Irrefutable Laws of Leadership by John C. Maxwell: Summary of the Key Ideas in One Hour or Less""?",Eighty Twenty Publishing
"Who is the author of the book ""Phenomenal Female Entrepreneurs""?",Jill Bryant
"Who is the author of the book ""One Summer: America, 1927""?",Bill Bryson
"Who is the author of the book ""Inventing a Christian America: The Myth of the Religious Founding""?",Steven K. Green
"Who is the author of the book ""The Making of Donald Trump""?",David Cay Johnston
"Who is the author of the book ""Trullion: Alastor 2262""?",Jack Vance
"Who is the author of the book ""Until We Are Free: My Fight for Human Rights in Iran""?",Shirin Ebadi
"Who is the author of the book ""Ojos de perro azul""?",Gabriel García Márquez
"Who is the author of the book ""James Baldwin: The Last Interview and Other Conversations""?",James Baldwin
"Who is the author of the book ""The True Saint Nicholas: Why He Matters to Christmas""?",William J. Bennett
"Who is the author of the book ""George Washington Is Cash Money: A No-Bullshit Guide to the United Myths of America""?",Cory O'Brien
"Who is the author of the book ""Investing For Dummies (For Dummies""?",Eric Tyson
"Who is the author of the book ""Forever Peace""?",Joe Haldeman
"Who is the author of the book ""The Violent Bear It Away""?",Flannery O'Connor
"Who is the author of the book ""Witches 101: A Witches of East End Primer""?",Melissa de la Cruz
"Who is the author of the book ""Friend Request""?",Laura Marshall
"Who is the author of the book ""Seven Tenths: The Sea and Its Thresholds""?",James Hamilton-Paterson
"Who is the author of the book ""Beogradske priče""?",Ivo Andrić
"Who is the author of the book ""Ulysses and Dubliners""?",James Joyce
"Who is the author of the book ""Lion of Macedon""?",David Gemmell
"Who is the author of the book ""Norse Mythology: The History of the Norse Pantheon and the Most Famous Myths""?",Charles River Editors
"Who is the author of the book ""EL LOBO ESTEPARIO""?",Hermann Hesse
"Who is the author of the book ""Harry Potter Series Box Set""?",J.K. Rowling
"Who is the author of the book ""Glamorama""?",Bret Easton Ellis
"Who is the author of the book ""The Lexus and the Olive Tree""?",Thomas L. Friedman
"Who is the author of the book ""Mind-Rain: Your Favorite Authors on Scott Westerfeld's Uglies Series""?",Jennifer Lynn Barnes
"Who is the author of the book ""Dear Husband""?",Joyce Carol Oates
"Who is the author of the book ""An ABC of Science Fiction""?",Kurt Vonnegut Jr
"Who is the author of the book ""The Willoughbys""?",Lois Lowry
"Who is the author of the book ""Hombres (y algunas mujeres): Cuentos que celebran el 8 de marzo""?",Rosa Montero
"Who is the author of the book ""No Good Alternative: Volume Two of Carbon Ideologies: 2""?",William T. Vollmann
"Who is the author of the book ""Berlin Diary: The Journal of a Foreign Correspondent 1934-41""?",William L. Shirer
"Who is the author of the book ""Gaze and Voice as Love Objects: [SIC 1]""?",Slavoj Žižek
"Who is the author of the book ""Throne of Stars""?",David Weber
"Who is the author of the book ""Dazzled""?",Jane Harvey-Berrick
"Who is the author of the book ""Lily and the Major""?",Linda Lael Miller
"Who is the author of the book ""History of the United States During the Administrations of James Madison""?",Henry Adams
"Who is the author of the book ""Queenie""?",Alice Munro
"Who is the author of the book ""The Monk Who Sold his Ferrari""?",Robin S. Sharma
"Who is the author of the book ""Just One Damned Thing After Another""?",Jodi Taylor
"Who is the author of the book ""V for Vendetta, Vol. II of X""?",Alan Moore
"Who is the author of the book ""Drood""?",Dan Simmons
"Who is the author of the book ""All That's Good: Recovering the Lost Art of Discernment""?",Hannah Anderson
"Who is the author of the book ""The Christian Religion An Enquiry""?",Robert Green Ingersoll
"Who is the author of the book ""Orthodoxy""?",G. K. Chesterton
"Who is the author of the book ""Rant: The Oral History of Buster Casey""?",Chuck Palahniuk
"Who is the author of the book ""Stone Cold Touch""?",Jennifer L. Armentrout
"Who is the author of the book ""Six Tudor Queens: Writing a New Story""?",Alison Weir
"Who is the author of the book ""Heartwood""?",James Lee Burke
"Who is the author of the book ""Profiles of the Future: An Inquiry Into the Limits of the Possible""?",Arthur C. Clarke
"Who is the author of the book ""The Pier Falls: And Other Stories""?",Mark Haddon
"Who is the author of the book ""Fragile""?",Lisa Unger
"Who is the author of the book ""Everything Changes""?",Jonathan Tropper
"Who is the author of the book ""Terrible Swift Sword""?",Bruce Catton
"Who is the author of the book ""Blasphemische Gedanken: Islam und Moderne""?",Slavoj Žižek
"Who is the author of the book ""Kinfolk: A Novel of China""?",Pearl S. Buck
"Who is the author of the book ""A Dog's Life: The Autobiography of a Stray""?",Ann M. Martin
"Who is the author of the book ""Champion""?",Marie Lu
"Who is the author of the book ""The Size of Thoughts: Essays and Other Lumber""?",Nicholson Baker
"Who is the author of the book ""Sea Sick""?",Iain Rob Wright
"Who is the author of the book ""Enchantment: The Art of Changing Hearts, Minds, and Actions""?",Guy Kawasaki
"Who is the author of the book ""David Ascendant""?",Brian Godawa
"Who is the author of the book ""Androcles and the Lion""?",George Bernard Shaw
"Who is the author of the book ""Jingle""?",Gordon Korman
"Who is the author of the book ""The Way of Life: Experiencing the Culture of Heaven on Earth""?",Bill Johnson
"Who is the author of the book ""Brokeback Mountain""?",Annie Proulx
"Who is the author of the book ""Blood & Beauty: The Borgias""?",Sarah Dunant
"Who is the author of the book ""Cruise Control""?",Sarah Mayberry
"Who is the author of the book ""Witch & Wizard: The Fire - Free Preview: The First 34 Chapters""?",James Patterson and Jill Dembowski
"Who is the author of the book ""The Power Of One""?",Bryce Courtenay
"Who is the author of the book ""Linotte: The Early Diary of Anais Nin""?",Anaïs Nin
"Who is the author of the book ""Anleitung zum Müßiggang""?",Tom Hodgkinson
"Who is the author of the book ""Why I'm Afraid of Bees""?",R.L. Stine
"Who is the author of the book ""The Imp of The Perverse""?",Edgar Allan Poe
"Who is the author of the book ""Accomplishing the Impossible: What God Does, What We Can Do""?",Russell M. Nelson
"Who is the author of the book ""The Shift: Taking Your Life from Ambition to Meaning""?",Wayne W. Dyer
"Who is the author of the book ""A Meeting by the River""?",Christopher Isherwood
"Who is the author of the book ""Rick Steves' Snapshot Scotland""?",Rick Steves
"Who is the author of the book ""Never Let Go of My Hand""?",Kerry E. Wagner
"Who is the author of the book ""The Halfling's Gem""?",R.A. Salvatore
"Who is the author of the book ""From Sawdust to Stardust: The Biography of DeForest Kelley""?",Terry Lee Rioux
"Who is the author of the book ""Unleash the Night""?",Sherrilyn Kenyon
"Who is the author of the book ""Dreyer’s English: An Utterly Correct Guide to Clarity and Style from the Copy Chief of Random House""?",Benjamin Dreyer
"Who is the author of the book ""Oedipe ou Le Roi boiteux""?",Jean Anouilh
"Who is the author of the book ""Atlantiskompleksi""?",Eoin Colfer
"Who is the author of the book ""Kitty Cornered: How Frannie and Five Other Incorrigible Cats Seized Control of Our House and Made It Their Home""?",Bob Tarte
"Who is the author of the book ""Detonator""?",Andy McNab
"Who is the author of the book ""Assembling California""?",John McPhee
"Who is the author of the book ""Masquerade""?",Melissa de la Cruz
"Who is the author of the book ""Be Transformed (John 13-21): Christ's Triumph Means Your Transformation""?",Warren W. Wiersbe
"Who is the author of the book ""Half Empty""?",David Rakoff
"Who is the author of the book ""Doctor Who - Le leggende di River Song""?",Steve Lyons
"Who is the author of the book ""Ne Pariez Jamais Votre Tête Au Diable Et Autres Contes Non Traduits Par Baudelaire""?",Edgar Allan Poe
"Who is the author of the book ""The Coma""?",Alex Garland
"Who is the author of the book ""Hog Pilots, Blue Water Grunts: The American Military in the Air, at Sea, and on the Ground""?",Robert D. Kaplan
"Who is the author of the book ""Underworld London: Crime and Punishment in the Capital City""?",Catharine Arnold
"Who is the author of the book ""Cold-Case Christianity: A Homicide Detective Investigates the Claims of the Gospels""?",J. Warner Wallace
"Who is the author of the book ""Harpist in the Wind""?",Patricia A. McKillip
"Who is the author of the book ""A Hole in the World: An American Boyhood""?",Richard Rhodes
"Who is the author of the book ""Going to the Territory""?",Ralph Ellison
"Who is the author of the book ""Yeraltından Notlar""?",Fyodor Dostoyevsky
"Who is the author of the book ""The Complete Uncollected Stories""?",J.D. Salinger
"Who is the author of the book ""Awful Egyptians""?",Terry Deary
"Who is the author of the book ""An Appetite for Wonder: The Making of a Scientist""?",Richard Dawkins
"Who is the author of the book ""Street Magic""?",Caitlin Kittredge
"Who is the author of the book ""Huế 1968: A Turning Point of the American War in Vietnam""?",Mark Bowden
"Who is the author of the book ""París""?",Edward Rutherfurd
"Who is the author of the book ""The Tutankhamun Affair""?",Christian Jacq
"Who is the author of the book ""The Alcoholism and Addiction Cure: A Holistic Approach to Total Recovery""?",Chris Prentiss
"Who is the author of the book ""The Adulteress""?",Philippa Carr
"Who is the author of the book ""Monster, She Wrote: The Women Who Pioneered Horror and Speculative Fiction""?",Lisa Kröger
"Who is the author of the book ""Balls To The Walls Erotica Series Books 1-3""?",Lolah Lace
"Who is the author of the book ""Patton: Blood, Guts, and Prayer""?",Michael Keane
"Who is the author of the book ""American Thighs: The Sweet Potato Queens' Guide to Preserving Your Assets""?",Jill Conner Browne
"Who is the author of the book ""Star Bright""?",Catherine Anderson
"Who is the author of the book ""The Unreal and the Real: The Selected Short Stories of Ursula K. Le Guin""?",Ursula K. Le Guin
"Who is the author of the book ""The Intuitionist""?",Colson Whitehead
"Who is the author of the book ""Desolation Island""?",Patrick O'Brian
"Who is the author of the book ""I Was Looking for a Street""?",Charles Willeford
"Who is the author of the book ""Scarcity: Why Having Too Little Means So Much""?",Sendhil Mullainathan
"Who is the author of the book ""Excursions""?",Henry David Thoreau
"Who is the author of the book ""Dance to the Music of Time""?",Anthony Powell
"Who is the author of the book ""World's Fair""?",E.L. Doctorow
"Who is the author of the book ""Every Which Way But Dead""?",Kim Harrison
"Who is the author of the book ""Bad Idea""?",Damon Suede
"Who is the author of the book ""Everything Changed When I Forgave Myself: growing up is a wonderful thing to do""?",Charlotte Eriksson
"Who is the author of the book ""The Crack in Space""?",Philip K. Dick
"Who is the author of the book ""Cool Memories""?",Jean Baudrillard
"Who is the author of the book ""Five on Finniston Farm""?",Enid Blyton
"Who is the author of the book ""Pumpkin Light""?",David Ray
"Who is the author of the book ""The Biography of Bill Gates: Secrets Behind the Success of the Microsoft Billionaire""?",Steve Walters
"Who is the author of the book ""The Secret Diary of Anne Boleyn""?",Robin Maxwell
"Who is the author of the book ""Dark Hunger""?",Christine Feehan
"Who is the author of the book ""The Uses of Anger: Women Responding to Racism""?",Audre Lorde
"Who is the author of the book ""The Opal Deception""?",Eoin Colfer
"Who is the author of the book ""Monologue of a Dog""?",Wisława Szymborska
"Who is the author of the book ""Three African-American Classics: up from Slavery, the Souls of Black Folk and Narrative of the Life of Frederick Douglass""?",W. E. B. Du Bois
"Who is the author of the book ""BattleTech: Mercenary's Star""?",William H. Keith Jr.
"Who is the author of the book ""Primavera""?",Francesca Lia Block
"Who is the author of the book ""Love and Respect: The Love She Most Desires; The Respect He Desperately Needs""?",Emerson Eggerichs
"Who is the author of the book ""На память обо мне. Повести и рассказы""?",Saul Bellow
"Who is the author of the book ""Kushiel's Mercy""?",Jacqueline Carey
"Who is the author of the book ""The Beast in the Jungle and Other Stories""?",Henry James
"Who is the author of the book ""The Ship Who Sang""?",Anne McCaffrey
"Who is the author of the book ""The Chemistry of Death""?",Simon Beckett
"Who is the author of the book ""The Theory of Moral Sentiments""?",Adam Smith
"Who is the author of the book ""Secrets of a Proper Lady""?",Victoria Alexander
"Who is the author of the book ""The Fortune of War (Aubrey/Maturin Series, Book 6)""?",Patrick O'Brian
"Who is the author of the book ""Chocolate Cream Pie Murder""?",Joanne Fluke
"Who is the author of the book ""Leaving Orbit: Notes from the Last Days of American Spaceflight""?",Margaret Lazarus Dean
"Who is the author of the book ""King Henry VI, Part 3""?",William Shakespeare
"Who is the author of the book ""The Thin Man""?",Dashiell Hammett
"Who is the author of the book ""The Enemies List""?",P.J. O'Rourke
"Who is the author of the book ""Jesus, an Obedient Son""?",Michael R. Phillips
"Who is the author of the book ""What the Waves Bring""?",Barbara Delinsky
"Who is the author of the book ""Disruptive Innovation: The Christensen Collection (the Innovator's Dilemma, the Innovator's Solution, the Innovator's DNA, and Harvard Business Review Article ""How Will You Measure Your Life?"")""?",Clayton M. Christensen
"Who is the author of the book ""ALICE'S ADVENTURES IN WONDERLAND""?",Lewis Carroll
"Who is the author of the book ""House of Stairs""?",William Sleator
"Who is the author of the book ""Holy Bible: New International Version""?",Anonymous
"Who is the author of the book ""The Only Thing Worth Dying For: How Eleven Green Berets Forged a New Afghanistan""?",Eric Blehm
